[2025-01-31 14:17:32.527] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":85}
[2025-01-31 14:17:32.528] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":85}
[2025-01-31 14:17:32.530] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":88}
[2025-01-31 14:17:32.530] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":88}
[2025-01-31 14:17:32.531] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":91}
[2025-01-31 14:17:32.531] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":91}
[2025-01-31 14:17:32.531] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":93}
[2025-01-31 14:17:32.531] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":93}
[2025-01-31 14:17:32.533] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":96}
[2025-01-31 14:17:32.533] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":96}
[2025-01-31 14:17:32.535] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":100}
[2025-01-31 14:17:32.535] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":100}
[2025-01-31 14:17:32.535] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6}
[2025-01-31 14:17:32.535] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6}
[2025-01-31 14:17:32.682] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":1}
[2025-01-31 14:17:32.684] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":1}
[2025-01-31 14:17:32.692] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":2}
[2025-01-31 14:17:32.692] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":2}
[2025-01-31 14:17:32.703] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":3}
[2025-01-31 14:17:32.704] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":3}
[2025-01-31 14:17:32.712] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":4}
[2025-01-31 14:17:32.713] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":4}
[2025-01-31 14:17:32.716] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":5}
[2025-01-31 14:17:32.717] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":5}
[2025-01-31 14:17:32.722] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":6}
[2025-01-31 14:17:32.722] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":6}
[2025-01-31 14:17:32.726] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":7}
[2025-01-31 14:17:32.727] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":7}
[2025-01-31 14:17:32.729] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":8}
[2025-01-31 14:17:32.730] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":8}
[2025-01-31 14:17:32.735] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":9}
[2025-01-31 14:17:32.735] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":9}
